,Latitude,Longitude,City,Country,PostalCode,Street,OperatorName
1463,46.950613,7.473621,Bern,CHE,3001,Monument im Fruchtland,Bgdi_Admin
1464,46.689225,7.865561,Interlaken,CHE,3800,Höheweg 94,Bgdi_Admin
1465,46.689225,7.865561,Interlaken,CHE,3800,Höheweg 94,Bgdi_Admin
1466,46.47646,7.284075,Gstaad,CHE,3780,Neueretstrasse 2,Bgdi_Admin
1467,46.47646,7.284075,Gstaad,CHE,3780,Neueretstrasse 2,Bgdi_Admin
1468,46.950013,7.439031,Bern,CHE,3012,Parkterrasse 14,Bgdi_Admin
1469,46.950013,7.439031,Bern,CHE,3012,Parkterrasse 14,Bgdi_Admin
1470,46.950013,7.439031,Bern,CHE,3012,Parkterrasse 14,Bgdi_Admin
1471,46.950013,7.439031,Bern,CHE,3012,Parkterrasse 14,Bgdi_Admin
1472,46.798065,7.120524,Villars-sur-Glâne,CHE,1752,Route de Moncor 14,Bgdi_Admin
1473,47.358672,8.730357,Uster,CHE,8610,Neugrütstrasse 14,Bgdi_Admin
1474,47.358672,8.730357,Uster,CHE,8610,Neugrütstrasse 14,Bgdi_Admin
1475,46.946526,7.447818,Bern,CHE,3011,Kochergasse 1,Bgdi_Admin
1476,46.946526,7.447818,Bern,CHE,3011,Kochergasse 1,Bgdi_Admin
1477,47.467354,7.597174,Aesch,CHE,4147,Hauptstrasse 61,Bgdi_Admin
1478,46.946032,7.434289,Bern,CHE,3008,Effingerstrasse 20,Bgdi_Admin
1479,46.944981,7.438189,Bern,CHE,3001,Bundesgasse 35,Bgdi_Admin
1480,46.944981,7.438189,Bern,CHE,3001,Bundesgasse 35,Bgdi_Admin
1481,47.537415,7.633576,Muttenz,CHE,4132,Hofackerstrasse 72,Bgdi_Admin
1482,47.537415,7.633576,Muttenz,CHE,4132,Hofackerstrasse 72,Bgdi_Admin
1483,47.34785,7.906247,Olten,CHE,4600,Aarburgerstrasse 39,Bgdi_Admin
1484,47.34785,7.906247,Olten,CHE,4600,Aarburgerstrasse 39,Bgdi_Admin
1485,46.945906,7.40546,Bern,CHE,3018,Stöckackerstrasse 33,Bgdi_Admin
1486,47.442028,7.590056,Grellingen,CHE,4203,Baselstrasse 6,Bgdi_Admin
1487,47.442028,7.590056,Grellingen,CHE,4203,Baselstrasse 6,Bgdi_Admin
1488,46.765275,9.067586,Breil/Brigels,CHE,7165,Crest la Crusch,Bgdi_Admin
1489,47.047636,9.421554,Mels,CHE,8887,Sarganserstrasse 1,Bgdi_Admin
1490,47.047636,9.421554,Mels,CHE,8887,Sarganserstrasse 1,Bgdi_Admin
1491,47.422804,9.367154,St. Gallen,CHE,9000,Lagerstrasse 6,Bgdi_Admin
1492,47.422804,9.367154,St. Gallen,CHE,9000,Lagerstrasse 6,Bgdi_Admin
1493,47.422804,9.367154,St. Gallen,CHE,9000,Lagerstrasse 6,Bgdi_Admin
1494,47.422804,9.367154,St. Gallen,CHE,9000,Lagerstrasse 6,Bgdi_Admin
1495,46.850945,7.190549,Düdingen,CHE,3186,Bahnhofstrasse,Bgdi_Admin
1496,46.850945,7.190549,Düdingen,CHE,3186,Bahnhofstrasse,Bgdi_Admin
