,Unnamed: 0,Postleitzahl,Anzahl,PLZ4,%_IN_GDE,KTKZ,GDENR,GDENAMK
205,206,3302.0,7,3302.0,95.49,BE,544.0,Moosseedorf
206,207,7746.0,7,7746.0,9.19,GR,3561.0,Poschiavo
207,208,8180.0,7,8180.0,100.0,ZH,53.0,Bülach
208,209,7240.0,7,7240.0,100.0,GR,3882.0,Küblis
209,210,7250.0,7,7250.0,61.6,GR,3871.0,Klosters-Serneus
210,211,6454.0,7,6454.0,99.38,UR,1207.0,Flüelen
211,212,1372.0,7,1372.0,5.88,VD,5493.0,Orny
212,213,60100.0,7,,,,,
213,214,8636.0,7,8636.0,0.12,ZH,113.0,Dürnten
214,215,2015.0,7,2015.0,13.45,NE,6404.0,Boudry
215,216,1400.0,7,1400.0,100.0,VD,5909.0,Cheseaux-Noréaz
216,217,6208.0,7,6208.0,89.33,LU,1095.0,Oberkirch
217,218,3930.0,7,3930.0,0.17,VS,6199.0,Raron
218,219,1820.0,7,1820.0,29.5,VD,5886.0,Montreux
219,220,4056.0,7,4056.0,10.01,BS,2701.0,Basel
220,221,6417.0,7,6417.0,98.93,SZ,1371.0,Sattel
221,222,6438.0,7,6438.0,25.17,SZ,1372.0,Schwyz
222,223,8240.0,7,8240.0,77.49,SH,2920.0,Thayngen
223,224,4127.0,6,4127.0,100.0,BL,2766.0,Birsfelden
224,225,3066.0,6,3066.0,4.02,BE,352.0,Bolligen
225,226,3400.0,6,3400.0,94.46,BE,404.0,Burgdorf
226,227,8783.0,6,8783.0,10.95,GL,1631.0,Glarus Süd
227,228,59.0,6,,,,,
228,229,9642.0,6,9642.0,97.91,SG,3352.0,Ebnat-Kappel
229,230,8932.0,6,8932.0,100.0,ZH,9.0,Mettmenstetten
230,231,5703.0,6,5703.0,0.21,AG,4195.0,Egliswil
231,232,1762.0,6,1762.0,100.0,FR,2197.0,Givisiez
232,233,7031.0,6,7031.0,71.07,GR,3575.0,Laax
233,234,3322.0,6,3322.0,100.0,BE,543.0,Mattstetten
234,235,7524.0,6,7524.0,100.0,GR,3791.0,Zuoz
235,236,8447.0,6,8447.0,100.0,ZH,25.0,Dachsen
236,237,9404.0,6,9404.0,99.02,SG,3216.0,Rorschacherberg
237,238,8955.0,6,8955.0,100.0,ZH,246.0,Oetwil an der Limmat
238,239,8853.0,6,8853.0,0.25,SZ,1342.0,Galgenen
239,240,3010.0,6,3010.0,0.15,BE,351.0,Bern
240,241,1110.0,6,1110.0,100.0,VD,5642.0,Morges
241,242,6034.0,6,6034.0,3.55,LU,1023.0,Ballwil
242,243,8762.0,6,8762.0,23.43,GL,1631.0,Glarus Süd
243,244,44.0,6,,,,,
244,245,8834.0,6,8834.0,66.24,SZ,1321.0,Feusisberg
245,246,7514.0,6,7514.0,75.82,GR,3789.0,Sils im Engadin/Segl
246,247,4144.0,6,4144.0,100.0,BL,2763.0,Arlesheim
247,248,6288.0,6,6288.0,0.06,LU,1030.0,Hitzkirch
248,249,6004.0,6,6004.0,0.05,LU,1054.0,Ebikon
249,250,6802.0,6,6802.0,35.51,TI,5238.0,Monteceneri
250,251,6828.0,6,6828.0,99.88,TI,5242.0,Balerna
251,252,3011.0,6,3011.0,8.24,BE,351.0,Bern
252,253,8105.0,6,8105.0,81.64,ZH,96.0,Regensdorf
253,254,8166.0,6,8166.0,100.0,ZH,91.0,Niederweningen
254,255,6048.0,6,6048.0,69.13,LU,1058.0,Horw
255,256,8355.0,6,8355.0,1.27,ZH,294.0,Elgg
256,257,3186.0,6,3186.0,98.9,FR,2293.0,Düdingen
257,258,4552.0,6,4552.0,100.0,SO,2517.0,Derendingen
258,259,3775.0,6,3775.0,99.96,BE,792.0,Lenk
259,260,1763.0,6,1763.0,100.0,FR,2198.0,Granges-Paccot
260,261,8023.0,6,,,,,
261,262,1806.0,6,1806.0,100.0,VD,5888.0,Saint-Légier-La Chiésaz
