,web-scraper-order,web-scraper-start-url,Preis,plz,jahr,ps-stand,Farbe,PLZ4,%_IN_GDE,KTKZ,GDENR,GDENAMK,Hist.-Nummer,Kanton,Bezirks-nummer,Bezirksname,BFS Gde-nummer,Gemeindename,Datum der Aufnahme
639,1669622809-828,https://www.autolina.ch/elektro-auto,68'500,6020,2022.0,325.0,schwarz,6020.0,72.91,LU,1024.0,Emmen,15563.0,LU,313.0,Hochdorf,1024,Emmen,2013-01-01
640,1669622809-829,https://www.autolina.ch/elektro-auto,115'500,8004,,327.0,schwarz,8004.0,4.55,ZH,261.0,Zürich,13688.0,ZH,112.0,Zürich,261,Zürich,1990-01-01
641,1669622809-830,https://www.autolina.ch/elektro-auto,49'780,9015,,136.0,weiss,9015.0,5.65,SG,3203.0,St. Gallen,14380.0,SG,1721.0,St. Gallen,3203,St. Gallen,2003-01-01
642,1669622809-831,https://www.autolina.ch/elektro-auto,34'150,6852,,136.0,gelb,6852.0,6.84,TI,5254.0,Mendrisio,15630.0,TI,2106.0,Mendrisio,5254,Mendrisio,2013-04-14
643,1669622809-832,https://www.autolina.ch/elektro-auto,93'900,8953,2021.0,327.0,schwarz,8953.0,99.32,ZH,243.0,Dietikon,13691.0,ZH,111.0,Dietikon,243,Dietikon,1990-01-01
644,1669622809-833,https://www.autolina.ch/elektro-auto,76'895,8408,2019.0,562.0,weiss,8408.0,13.8,ZH,230.0,Winterthur,10347.0,ZH,110.0,Winterthur,230,Winterthur,1922-01-01
645,1669622809-834,https://www.autolina.ch/elektro-auto,65'580,5634,,204.0,schwarz,5634.0,78.32,AG,4234.0,Merenschwand,15503.0,AG,1908.0,Muri,4234,Merenschwand,2012-01-01
646,1669622809-835,https://www.autolina.ch/elektro-auto,43'900,6403,,180.0,grau,6403.0,64.27,SZ,1331.0,Küssnacht (SZ),14470.0,SZ,504.0,Küssnacht (SZ),1331,Küssnacht (SZ),2004-01-01
647,1669622809-836,https://www.autolina.ch/elektro-auto,67'200,6403,,299.0,schwarz,6403.0,64.27,SZ,1331.0,Küssnacht (SZ),14470.0,SZ,504.0,Küssnacht (SZ),1331,Küssnacht (SZ),2004-01-01
648,1669622809-837,https://www.autolina.ch/elektro-auto,48'650,5417,,232.0,weiss,5417.0,84.56,AG,4044.0,Untersiggenthal,10871.0,AG,1902.0,Baden,4044,Untersiggenthal,1848-09-12
649,1669622809-838,https://www.autolina.ch/elektro-auto,49'850,5417,,232.0,blau,5417.0,84.56,AG,4044.0,Untersiggenthal,10871.0,AG,1902.0,Baden,4044,Untersiggenthal,1848-09-12
650,1669622809-839,https://www.autolina.ch/elektro-auto,38'900,9220,2019.0,476.0,grau,9220.0,5.12,SG,3202.0,Muolen,14379.0,SG,1721.0,St. Gallen,3202,Muolen,2003-01-01
