,web-scraper-order,web-scraper-start-url,Preis,plz,jahr,ps-stand,Farbe,PLZ4,%_IN_GDE,KTKZ,GDENR,GDENAMK,Hist.-Nummer,Kanton,Bezirks-nummer,Bezirksname,BFS Gde-nummer,Gemeindename,Datum der Aufnahme
0,1669622809-189,https://www.autolina.ch/elektro-auto,49'650,8640,,231.0,silber,8640.0,3.91,SZ,1322.0,Freienbach,11961.0,SZ,503.0,Höfe,1322,Freienbach,1848-09-12
1,1669622809-190,https://www.autolina.ch/elektro-auto,42'500,6464,2022.0,204.0,weiss,6464.0,0.36,UR,1205.0,Bürglen (UR),11506.0,UR,400.0,Kt. Uri,1205,Bürglen (UR),1848-09-12
2,1669622809-191,https://www.autolina.ch/elektro-auto,70'200,8807,,325.0,weiss,8807.0,18.75,SZ,1322.0,Freienbach,11961.0,SZ,503.0,Höfe,1322,Freienbach,1848-09-12
3,1669622809-192,https://www.autolina.ch/elektro-auto,44'900,1184,2019.0,513.0,weiss,1184.0,100.0,VD,5858.0,Luins,14638.0,VD,2228.0,Nyon,5858,Luins,2006-09-01
4,1669622809-193,https://www.autolina.ch/elektro-auto,68'990,1920,,408.0,sonstiges,1920.0,95.44,VS,6136.0,Martigny,16602.0,VS,2307.0,Martigny,6136,Martigny,2021-01-01
5,1669622809-194,https://www.autolina.ch/elektro-auto,69'470,1920,,408.0,sonstiges,1920.0,95.44,VS,6136.0,Martigny,16602.0,VS,2307.0,Martigny,6136,Martigny,2021-01-01
6,1669622809-195,https://www.autolina.ch/elektro-auto,68'520,1920,,408.0,sonstiges,1920.0,95.44,VS,6136.0,Martigny,16602.0,VS,2307.0,Martigny,6136,Martigny,2021-01-01
7,1669622809-196,https://www.autolina.ch/elektro-auto,36'990,1720,,118.0,sonstiges,1720.0,0.15,FR,2175.0,Belfaux,15676.0,FR,1004.0,La Sarine,2175,Belfaux,2016-01-01
8,1669622809-197,https://www.autolina.ch/elektro-auto,57'310,1716,,204.0,weiss,1716.0,0.95,FR,2138.0,Jaun,12668.0,FR,1003.0,La Gruyère,2138,Jaun,1848-09-12
9,1669622809-198,https://www.autolina.ch/elektro-auto,26'450,6440,2020.0,145.0,grau,6440.0,99.54,SZ,1364.0,Ingenbohl,12657.0,SZ,506.0,Schwyz,1364,Ingenbohl,1848-09-12
10,1669622809-199,https://www.autolina.ch/elektro-auto,43'899,8580,2017.0,525.0,blau,8580.0,0.51,SG,3202.0,Muolen,14379.0,SG,1721.0,St. Gallen,3202,Muolen,2003-01-01
11,1669622809-200,https://www.autolina.ch/elektro-auto,96'699,8580,2021.0,573.0,weiss,8580.0,0.51,SG,3202.0,Muolen,14379.0,SG,1721.0,St. Gallen,3202,Muolen,2003-01-01
12,1669622809-201,https://www.autolina.ch/elektro-auto,39'799,8580,2019.0,476.0,blau,8580.0,0.51,SG,3202.0,Muolen,14379.0,SG,1721.0,St. Gallen,3202,Muolen,2003-01-01
13,1669622809-202,https://www.autolina.ch/elektro-auto,38'000,2300,,136.0,sonstiges,2300.0,97.68,NE,6421.0,La Chaux-de-Fonds,16095.0,NE,2400.0,Cant. de Neuchâtel,6421,La Chaux-de-Fonds,2018-01-01
14,1669622809-203,https://www.autolina.ch/elektro-auto,38'800,1530,,146.0,grau,1530.0,93.43,VD,5822.0,Payerne,14560.0,VD,2222.0,Broye-Vully,5822,Payerne,2006-09-01
15,1669622809-204,https://www.autolina.ch/elektro-auto,38'900,5312,2015.0,387.0,schwarz,5312.0,100.0,AG,4304.0,Döttingen,12210.0,AG,1911.0,Zurzach,4304,Döttingen,1848-09-12
16,1669622809-205,https://www.autolina.ch/elektro-auto,42'000,1009,2020.0,489.0,schwarz,1009.0,97.91,VD,5590.0,Pully,14574.0,VD,2226.0,Lavaux-Oron,5590,Pully,2006-09-01
17,1669622809-206,https://www.autolina.ch/elektro-auto,42'000,8962,2022.0,204.0,silber,8962.0,99.89,AG,4023.0,Bergdietikon,11856.0,AG,1902.0,Baden,4023,Bergdietikon,1848-09-12
18,1669622809-207,https://www.autolina.ch/elektro-auto,43'500,6234,2017.0,524.0,blau,6234.0,74.49,LU,1104.0,Triengen,15599.0,LU,314.0,Sursee,1104,Triengen,2013-01-01
19,1669622809-208,https://www.autolina.ch/elektro-auto,46'900,8610,2020.0,497.0,grau,8610.0,78.4,ZH,198.0,Uster,10940.0,ZH,109.0,Uster,198,Uster,1848-09-12
20,1669622809-209,https://www.autolina.ch/elektro-auto,69'700,8640,,371.0,schwarz,8640.0,3.91,SZ,1322.0,Freienbach,11961.0,SZ,503.0,Höfe,1322,Freienbach,1848-09-12
21,1669622809-210,https://www.autolina.ch/elektro-auto,70'600,8640,,371.0,blau,8640.0,3.91,SZ,1322.0,Freienbach,11961.0,SZ,503.0,Höfe,1322,Freienbach,1848-09-12
22,1669622809-211,https://www.autolina.ch/elektro-auto,47'800,1217,2014.0,476.0,grau,1217.0,81.92,GE,6630.0,Meyrin,12430.0,GE,2500.0,Cant. de Genève,6630,Meyrin,1848-09-12
23,1669622809-212,https://www.autolina.ch/elektro-auto,61'600,8640,2021.0,408.0,weiss,8640.0,3.91,SZ,1322.0,Freienbach,11961.0,SZ,503.0,Höfe,1322,Freienbach,1848-09-12
24,1669622809-213,https://www.autolina.ch/elektro-auto,39'600,1630,2019.0,489.0,weiss,1630.0,73.16,FR,2125.0,Bulle,14528.0,FR,1003.0,La Gruyère,2125,Bulle,2006-01-01
25,1669622809-214,https://www.autolina.ch/elektro-auto,54'900,1350,2017.0,524.0,rot,1350.0,100.0,VD,5757.0,Orbe,14673.0,VD,2224.0,Jura-Nord vaudois,5757,Orbe,2006-09-01
26,1669622809-215,https://www.autolina.ch/elektro-auto,69'200,8640,,269.0,weiss,8640.0,3.91,SZ,1322.0,Freienbach,11961.0,SZ,503.0,Höfe,1322,Freienbach,1848-09-12
28,1669622809-217,https://www.autolina.ch/elektro-auto,73'100,8640,,371.0,grau,8640.0,3.91,SZ,1322.0,Freienbach,11961.0,SZ,503.0,Höfe,1322,Freienbach,1848-09-12
29,1669622809-218,https://www.autolina.ch/elektro-auto,68'000,4456,2021.0,346.0,grau,4456.0,98.96,BL,2863.0,Tenniken,13802.0,BL,1304.0,Sissach,2863,Tenniken,1994-01-01
30,1669622809-219,https://www.autolina.ch/elektro-auto,52'900,1530,,174.0,schwarz,1530.0,93.43,VD,5822.0,Payerne,14560.0,VD,2222.0,Broye-Vully,5822,Payerne,2006-09-01
31,1669622809-220,https://www.autolina.ch/elektro-auto,37'810,9230,,136.0,weiss,9230.0,0.61,SG,3401.0,Degersheim,14451.0,SG,1728.0,Wil,3401,Degersheim,2003-01-01
32,1669622809-221,https://www.autolina.ch/elektro-auto,123'900,1950,2022.0,524.0,schwarz,1950.0,0.83,VS,6263.0,Grimisuat,12094.0,VS,2312.0,Sion,6263,Grimisuat,1848-09-12
33,1669622809-222,https://www.autolina.ch/elektro-auto,90'900,1950,2022.0,544.0,blau,1950.0,0.83,VS,6263.0,Grimisuat,12094.0,VS,2312.0,Sion,6263,Grimisuat,1848-09-12
34,1669622809-223,https://www.autolina.ch/elektro-auto,70'870,6330,,265.0,weiss,6330.0,77.51,ZG,1702.0,Cham,11397.0,ZG,900.0,Kt. Zug,1702,Cham,1848-09-12
35,1669622809-224,https://www.autolina.ch/elektro-auto,56'400,6330,,204.0,sonstiges,6330.0,77.51,ZG,1702.0,Cham,11397.0,ZG,900.0,Kt. Zug,1702,Cham,1848-09-12
36,1669622809-225,https://www.autolina.ch/elektro-auto,70'870,6330,,265.0,schwarz,6330.0,77.51,ZG,1702.0,Cham,11397.0,ZG,900.0,Kt. Zug,1702,Cham,1848-09-12
37,1669622809-226,https://www.autolina.ch/elektro-auto,64'500,6330,,204.0,weiss,6330.0,77.51,ZG,1702.0,Cham,11397.0,ZG,900.0,Kt. Zug,1702,Cham,1848-09-12
38,1669622809-227,https://www.autolina.ch/elektro-auto,94'300,1814,,408.0,blau,1814.0,100.0,VD,5889.0,La Tour-de-Peilz,14656.0,VD,2230.0,Riviera-Pays-d'Enhaut,5889,La Tour-de-Peilz,2006-09-01
39,1669622809-228,https://www.autolina.ch/elektro-auto,66'900,1814,2022.0,229.0,schwarz,1814.0,100.0,VD,5889.0,La Tour-de-Peilz,14656.0,VD,2230.0,Riviera-Pays-d'Enhaut,5889,La Tour-de-Peilz,2006-09-01
40,1669622809-229,https://www.autolina.ch/elektro-auto,67'900,3946,,299.0,weiss,3946.0,0.46,VS,6104.0,Ergisch,12307.0,VS,2306.0,Leuk,6104,Ergisch,1848-09-12
41,1669622809-230,https://www.autolina.ch/elektro-auto,68'900,6330,,204.0,blau,6330.0,77.51,ZG,1702.0,Cham,11397.0,ZG,900.0,Kt. Zug,1702,Cham,1848-09-12
42,1669622809-231,https://www.autolina.ch/elektro-auto,58'500,6330,,204.0,anthrazit,6330.0,77.51,ZG,1702.0,Cham,11397.0,ZG,900.0,Kt. Zug,1702,Cham,1848-09-12
43,1669622809-232,https://www.autolina.ch/elektro-auto,50'380,2802,,204.0,schwarz,2802.0,99.6,JU,6712.0,Develier,13283.0,JU,2601.0,Delémont,6712,Develier,1979-01-01
44,1669622809-233,https://www.autolina.ch/elektro-auto,34'730,1196,2022.0,136.0,grau,1196.0,100.0,VD,5721.0,Gland,14733.0,VD,2228.0,Nyon,5721,Gland,2006-09-01
45,1669622809-234,https://www.autolina.ch/elektro-auto,57'650,1772,,269.0,sonstiges,1772.0,0.07,FR,2053.0,Belmont-Broye,15675.0,FR,1001.0,La Broye,2053,Belmont-Broye,2016-01-01
46,1669622809-235,https://www.autolina.ch/elektro-auto,51'900,6950,2021.0,204.0,grau,6950.0,13.87,TI,5226.0,Capriasca,14938.0,TI,2105.0,Lugano,5226,Capriasca,2008-04-20
47,1669622809-236,https://www.autolina.ch/elektro-auto,144'900,1020,2021.0,524.0,sonstiges,1020.0,99.94,VD,5591.0,Renens (VD),14580.0,VD,2229.0,Ouest lausannois,5591,Renens (VD),2006-09-01
48,1669622809-237,https://www.autolina.ch/elektro-auto,35'480,1868,,119.0,grau,1868.0,50.79,VS,6152.0,Collombey-Muraz,11596.0,VS,2308.0,Monthey,6152,Collombey-Muraz,1848-09-12
49,1669622809-238,https://www.autolina.ch/elektro-auto,31'900,1950,2022.0,119.0,anthrazit,1950.0,0.83,VS,6263.0,Grimisuat,12094.0,VS,2312.0,Sion,6263,Grimisuat,1848-09-12
50,1669622809-239,https://www.autolina.ch/elektro-auto,70'150,6468,,325.0,schwarz,6468.0,97.81,UR,1203.0,Attinghausen,11678.0,UR,400.0,Kt. Uri,1203,Attinghausen,1848-09-12
51,1669622809-240,https://www.autolina.ch/elektro-auto,27'500,6430,2019.0,150.0,rot,6430.0,0.32,SZ,1361.0,Alpthal,11778.0,SZ,506.0,Schwyz,1361,Alpthal,1848-09-12
52,1669622809-241,https://www.autolina.ch/elektro-auto,58'650,9542,2022.0,513.0,silber,9542.0,72.24,TG,4746.0,Münchwilen (TG),15407.0,TG,2014.0,Münchwilen,4746,Münchwilen (TG),2011-01-01
53,1669622809-242,https://www.autolina.ch/elektro-auto,59'900,9542,2022.0,300.0,schwarz,9542.0,72.24,TG,4746.0,Münchwilen (TG),15407.0,TG,2014.0,Münchwilen,4746,Münchwilen (TG),2011-01-01
54,1669622809-243,https://www.autolina.ch/elektro-auto,44'690,9542,,204.0,blau,9542.0,72.24,TG,4746.0,Münchwilen (TG),15407.0,TG,2014.0,Münchwilen,4746,Münchwilen (TG),2011-01-01
55,1669622809-244,https://www.autolina.ch/elektro-auto,59'880,9542,,300.0,weiss,9542.0,72.24,TG,4746.0,Münchwilen (TG),15407.0,TG,2014.0,Münchwilen,4746,Münchwilen (TG),2011-01-01
56,1669622809-245,https://www.autolina.ch/elektro-auto,24'990,9542,,82.0,weiss,9542.0,72.24,TG,4746.0,Münchwilen (TG),15407.0,TG,2014.0,Münchwilen,4746,Münchwilen (TG),2011-01-01
57,1669622809-246,https://www.autolina.ch/elektro-auto,25'490,9542,,82.0,schwarz,9542.0,72.24,TG,4746.0,Münchwilen (TG),15407.0,TG,2014.0,Münchwilen,4746,Münchwilen (TG),2011-01-01
58,1669622809-247,https://www.autolina.ch/elektro-auto,28'890,9542,,119.0,schwarz,9542.0,72.24,TG,4746.0,Münchwilen (TG),15407.0,TG,2014.0,Münchwilen,4746,Münchwilen (TG),2011-01-01
59,1669622809-248,https://www.autolina.ch/elektro-auto,44'690,9542,,204.0,rot,9542.0,72.24,TG,4746.0,Münchwilen (TG),15407.0,TG,2014.0,Münchwilen,4746,Münchwilen (TG),2011-01-01
60,1669622809-249,https://www.autolina.ch/elektro-auto,43'840,9542,2022.0,204.0,grau,9542.0,72.24,TG,4746.0,Münchwilen (TG),15407.0,TG,2014.0,Münchwilen,4746,Münchwilen (TG),2011-01-01
61,1669622809-250,https://www.autolina.ch/elektro-auto,44'690,9542,,204.0,grau,9542.0,72.24,TG,4746.0,Münchwilen (TG),15407.0,TG,2014.0,Münchwilen,4746,Münchwilen (TG),2011-01-01
62,1669622809-251,https://www.autolina.ch/elektro-auto,44'690,9542,,204.0,silber,9542.0,72.24,TG,4746.0,Münchwilen (TG),15407.0,TG,2014.0,Münchwilen,4746,Münchwilen (TG),2011-01-01
63,1669622809-252,https://www.autolina.ch/elektro-auto,35'850,9542,,136.0,rot,9542.0,72.24,TG,4746.0,Münchwilen (TG),15407.0,TG,2014.0,Münchwilen,4746,Münchwilen (TG),2011-01-01
64,1669622809-253,https://www.autolina.ch/elektro-auto,35'860,9542,2022.0,136.0,schwarz,9542.0,72.24,TG,4746.0,Münchwilen (TG),15407.0,TG,2014.0,Münchwilen,4746,Münchwilen (TG),2011-01-01
65,1669622809-254,https://www.autolina.ch/elektro-auto,61'550,9542,,300.0,grau,9542.0,72.24,TG,4746.0,Münchwilen (TG),15407.0,TG,2014.0,Münchwilen,4746,Münchwilen (TG),2011-01-01
66,1669622809-255,https://www.autolina.ch/elektro-auto,61'550,9542,,300.0,weiss,9542.0,72.24,TG,4746.0,Münchwilen (TG),15407.0,TG,2014.0,Münchwilen,4746,Münchwilen (TG),2011-01-01
67,1669622809-256,https://www.autolina.ch/elektro-auto,44'660,9542,,204.0,schwarz,9542.0,72.24,TG,4746.0,Münchwilen (TG),15407.0,TG,2014.0,Münchwilen,4746,Münchwilen (TG),2011-01-01
68,1669622809-257,https://www.autolina.ch/elektro-auto,59'990,9542,,300.0,grau,9542.0,72.24,TG,4746.0,Münchwilen (TG),15407.0,TG,2014.0,Münchwilen,4746,Münchwilen (TG),2011-01-01
69,1669622809-258,https://www.autolina.ch/elektro-auto,58'990,9542,,265.0,schwarz,9542.0,72.24,TG,4746.0,Münchwilen (TG),15407.0,TG,2014.0,Münchwilen,4746,Münchwilen (TG),2011-01-01
70,1669622809-259,https://www.autolina.ch/elektro-auto,61'880,9542,2022.0,228.0,grau,9542.0,72.24,TG,4746.0,Münchwilen (TG),15407.0,TG,2014.0,Münchwilen,4746,Münchwilen (TG),2011-01-01
71,1669622809-260,https://www.autolina.ch/elektro-auto,43'550,9542,2022.0,204.0,blau,9542.0,72.24,TG,4746.0,Münchwilen (TG),15407.0,TG,2014.0,Münchwilen,4746,Münchwilen (TG),2011-01-01
72,1669622809-261,https://www.autolina.ch/elektro-auto,12'890,9542,2013.0,88.0,blau,9542.0,72.24,TG,4746.0,Münchwilen (TG),15407.0,TG,2014.0,Münchwilen,4746,Münchwilen (TG),2011-01-01
73,1669622809-262,https://www.autolina.ch/elektro-auto,69'500,9542,2022.0,300.0,blau,9542.0,72.24,TG,4746.0,Münchwilen (TG),15407.0,TG,2014.0,Münchwilen,4746,Münchwilen (TG),2011-01-01
74,1669622809-263,https://www.autolina.ch/elektro-auto,28'790,9542,,119.0,weiss,9542.0,72.24,TG,4746.0,Münchwilen (TG),15407.0,TG,2014.0,Münchwilen,4746,Münchwilen (TG),2011-01-01
75,1669622809-264,https://www.autolina.ch/elektro-auto,28'890,9542,,119.0,grau,9542.0,72.24,TG,4746.0,Münchwilen (TG),15407.0,TG,2014.0,Münchwilen,4746,Münchwilen (TG),2011-01-01
76,1669622809-265,https://www.autolina.ch/elektro-auto,28'890,9542,,119.0,grün,9542.0,72.24,TG,4746.0,Münchwilen (TG),15407.0,TG,2014.0,Münchwilen,4746,Münchwilen (TG),2011-01-01
77,1669622809-266,https://www.autolina.ch/elektro-auto,28'890,9542,,119.0,weiss,9542.0,72.24,TG,4746.0,Münchwilen (TG),15407.0,TG,2014.0,Münchwilen,4746,Münchwilen (TG),2011-01-01
78,1669622809-267,https://www.autolina.ch/elektro-auto,64'550,9542,,325.0,weiss,9542.0,72.24,TG,4746.0,Münchwilen (TG),15407.0,TG,2014.0,Münchwilen,4746,Münchwilen (TG),2011-01-01
79,1669622809-268,https://www.autolina.ch/elektro-auto,34'950,9542,,136.0,blau,9542.0,72.24,TG,4746.0,Münchwilen (TG),15407.0,TG,2014.0,Münchwilen,4746,Münchwilen (TG),2011-01-01
80,1669622809-269,https://www.autolina.ch/elektro-auto,84'900,9542,2021.0,503.0,beige,9542.0,72.24,TG,4746.0,Münchwilen (TG),15407.0,TG,2014.0,Münchwilen,4746,Münchwilen (TG),2011-01-01
81,1669622809-270,https://www.autolina.ch/elektro-auto,122'980,9542,2021.0,646.0,grün,9542.0,72.24,TG,4746.0,Münchwilen (TG),15407.0,TG,2014.0,Münchwilen,4746,Münchwilen (TG),2011-01-01
82,1669622809-271,https://www.autolina.ch/elektro-auto,94'900,9542,2021.0,530.0,grau,9542.0,72.24,TG,4746.0,Münchwilen (TG),15407.0,TG,2014.0,Münchwilen,4746,Münchwilen (TG),2011-01-01
83,1669622809-272,https://www.autolina.ch/elektro-auto,84'980,9542,2018.0,772.0,weiss,9542.0,72.24,TG,4746.0,Münchwilen (TG),15407.0,TG,2014.0,Münchwilen,4746,Münchwilen (TG),2011-01-01
84,1669622809-273,https://www.autolina.ch/elektro-auto,51'150,1868,,231.0,silber,1868.0,50.79,VS,6152.0,Collombey-Muraz,11596.0,VS,2308.0,Monthey,6152,Collombey-Muraz,1848-09-12
85,1669622809-274,https://www.autolina.ch/elektro-auto,61'900,1868,2022.0,184.0,weiss,1868.0,50.79,VS,6152.0,Collombey-Muraz,11596.0,VS,2308.0,Monthey,6152,Collombey-Muraz,1848-09-12
86,1669622809-275,https://www.autolina.ch/elektro-auto,49'800,9450,2022.0,136.0,weiss,9450.0,0.09,AR,3022.0,Gais,12077.0,AR,1502.0,Mittelland,3022,Gais,1848-09-12
89,1669622809-278,https://www.autolina.ch/elektro-auto,37'100,8645,2022.0,145.0,weiss,8645.0,67.43,SG,3340.0,Rapperswil-Jona,14925.0,SG,1726.0,See-Gaster,3340,Rapperswil-Jona,2007-01-01
90,1669622809-279,https://www.autolina.ch/elektro-auto,67'500,5036,,269.0,weiss,5036.0,100.0,AG,4010.0,Oberentfelden,12465.0,AG,1901.0,Aarau,4010,Oberentfelden,1848-09-12
93,1669622809-282,https://www.autolina.ch/elektro-auto,49'970,6032,2021.0,204.0,sonstiges,6032.0,26.5,LU,1024.0,Emmen,15563.0,LU,313.0,Hochdorf,1024,Emmen,2013-01-01
95,1669622809-284,https://www.autolina.ch/elektro-auto,34'900,5610,,156.0,bordeaux,5610.0,0.54,AG,4080.0,Villmergen,15386.0,AG,1903.0,Bremgarten,4080,Villmergen,2010-01-01
96,1669622809-285,https://www.autolina.ch/elektro-auto,69'900,8623,,299.0,schwarz,8623.0,32.41,ZH,121.0,Wetzikon (ZH),10277.0,ZH,105.0,Hinwil,121,Wetzikon (ZH),1848-09-12
97,1669622809-286,https://www.autolina.ch/elektro-auto,145'200,8623,,476.0,schwarz,8623.0,32.41,ZH,121.0,Wetzikon (ZH),10277.0,ZH,105.0,Hinwil,121,Wetzikon (ZH),1848-09-12
98,1669622809-287,https://www.autolina.ch/elektro-auto,72'900,8623,2021.0,265.0,schwarz,8623.0,32.41,ZH,121.0,Wetzikon (ZH),10277.0,ZH,105.0,Hinwil,121,Wetzikon (ZH),1848-09-12
99,1669622809-288,https://www.autolina.ch/elektro-auto,74'900,8623,2021.0,292.0,schwarz,8623.0,32.41,ZH,121.0,Wetzikon (ZH),10277.0,ZH,105.0,Hinwil,121,Wetzikon (ZH),1848-09-12
100,1669622809-289,https://www.autolina.ch/elektro-auto,136'900,8207,,524.0,schwarz,8207.0,12.03,SH,2939.0,Schaffhausen,14949.0,SH,1403.0,Schaffhausen,2939,Schaffhausen,2009-01-01
101,1669622809-290,https://www.autolina.ch/elektro-auto,104'900,8207,,327.0,schwarz,8207.0,12.03,SH,2939.0,Schaffhausen,14949.0,SH,1403.0,Schaffhausen,2939,Schaffhausen,2009-01-01
102,1669622809-291,https://www.autolina.ch/elektro-auto,69'900,5210,2021.0,408.0,blau,5210.0,0.06,AG,4095.0,Brugg,16135.0,AG,1904.0,Brugg,4095,Brugg,2020-01-01
103,1669622809-292,https://www.autolina.ch/elektro-auto,44'800,8880,,204.0,rot,8880.0,61.43,SG,3298.0,Walenstadt,14418.0,SG,1725.0,Sarganserland,3298,Walenstadt,2003-01-01
104,1669622809-293,https://www.autolina.ch/elektro-auto,44'800,8880,,204.0,weiss,8880.0,61.43,SG,3298.0,Walenstadt,14418.0,SG,1725.0,Sarganserland,3298,Walenstadt,2003-01-01
105,1669622809-294,https://www.autolina.ch/elektro-auto,44'800,8880,,204.0,grau,8880.0,61.43,SG,3298.0,Walenstadt,14418.0,SG,1725.0,Sarganserland,3298,Walenstadt,2003-01-01
106,1669622809-295,https://www.autolina.ch/elektro-auto,21'600,8880,2019.0,109.0,schwarz,8880.0,61.43,SG,3298.0,Walenstadt,14418.0,SG,1725.0,Sarganserland,3298,Walenstadt,2003-01-01
107,1669622809-296,https://www.autolina.ch/elektro-auto,48'630,3076,,232.0,rot,3076.0,0.09,BE,356.0,Muri bei Bern,15034.0,BE,246.0,Bern-Mittelland,356,Muri bei Bern,2010-01-01
108,1669622809-297,https://www.autolina.ch/elektro-auto,48'050,6010,,218.0,grau,6010.0,83.38,LU,1059.0,Kriens,15576.0,LU,312.0,Luzern-Land,1059,Kriens,2013-01-01
109,1669622809-298,https://www.autolina.ch/elektro-auto,49'900,9545,2021.0,204.0,weiss,9545.0,84.31,TG,4781.0,Wängi,15441.0,TG,2014.0,Münchwilen,4781,Wängi,2011-01-01
110,1669622809-299,https://www.autolina.ch/elektro-auto,26'900,1024,2020.0,136.0,schwarz,1024.0,96.42,VD,5635.0,Ecublens (VD),14721.0,VD,2229.0,Ouest lausannois,5635,Ecublens (VD),2006-09-01
111,1669622809-300,https://www.autolina.ch/elektro-auto,61'900,8184,,299.0,silber,8184.0,100.0,ZH,51.0,Bachenbülach,11683.0,ZH,103.0,Bülach,51,Bachenbülach,1848-09-12
112,1669622809-301,https://www.autolina.ch/elektro-auto,59'900,8184,,299.0,weiss,8184.0,100.0,ZH,51.0,Bachenbülach,11683.0,ZH,103.0,Bülach,51,Bachenbülach,1848-09-12
113,1669622809-302,https://www.autolina.ch/elektro-auto,27'900,4923,,119.0,weiss,4923.0,96.42,BE,345.0,Wynau,15028.0,BE,244.0,Oberaargau,345,Wynau,2010-01-01
114,1669622809-303,https://www.autolina.ch/elektro-auto,27'900,4923,,119.0,weiss,4923.0,96.42,BE,345.0,Wynau,15028.0,BE,244.0,Oberaargau,345,Wynau,2010-01-01
115,1669622809-304,https://www.autolina.ch/elektro-auto,27'490,4923,,119.0,weiss,4923.0,96.42,BE,345.0,Wynau,15028.0,BE,244.0,Oberaargau,345,Wynau,2010-01-01
116,1669622809-305,https://www.autolina.ch/elektro-auto,27'900,4923,,119.0,weiss,4923.0,96.42,BE,345.0,Wynau,15028.0,BE,244.0,Oberaargau,345,Wynau,2010-01-01
117,1669622809-306,https://www.autolina.ch/elektro-auto,27'900,4923,,119.0,weiss,4923.0,96.42,BE,345.0,Wynau,15028.0,BE,244.0,Oberaargau,345,Wynau,2010-01-01
118,1669622809-307,https://www.autolina.ch/elektro-auto,45'250,9403,,232.0,weiss,9403.0,99.83,SG,3213.0,Goldach,14384.0,SG,1722.0,Rorschach,3213,Goldach,2003-01-01
119,1669622809-308,https://www.autolina.ch/elektro-auto,44'900,9403,,204.0,weiss,9403.0,99.83,SG,3213.0,Goldach,14384.0,SG,1722.0,Rorschach,3213,Goldach,2003-01-01
120,1669622809-309,https://www.autolina.ch/elektro-auto,59'900,7156,,299.0,weiss,7156.0,16.6,GR,3619.0,Ilanz/Glion,16061.0,GR,1850.0,Surselva,3619,Ilanz/Glion,2017-01-01
121,1669622809-310,https://www.autolina.ch/elektro-auto,72'995,9015,,371.0,rot,9015.0,5.65,SG,3203.0,St. Gallen,14380.0,SG,1721.0,St. Gallen,3203,St. Gallen,2003-01-01
122,1669622809-311,https://www.autolina.ch/elektro-auto,148'220,6010,2022.0,476.0,grau,6010.0,83.38,LU,1059.0,Kriens,15576.0,LU,312.0,Luzern-Land,1059,Kriens,2013-01-01
123,1669622809-312,https://www.autolina.ch/elektro-auto,71'290,1753,,204.0,schwarz,1753.0,1.54,FR,2183.0,Corminboeuf,15692.0,FR,1004.0,La Sarine,2183,Corminboeuf,2017-01-01
124,1669622809-313,https://www.autolina.ch/elektro-auto,60'990,1753,,204.0,rot,1753.0,1.54,FR,2183.0,Corminboeuf,15692.0,FR,1004.0,La Sarine,2183,Corminboeuf,2017-01-01
125,1669622809-314,https://www.autolina.ch/elektro-auto,60'490,1753,,204.0,grau,1753.0,1.54,FR,2183.0,Corminboeuf,15692.0,FR,1004.0,La Sarine,2183,Corminboeuf,2017-01-01
126,1669622809-315,https://www.autolina.ch/elektro-auto,66'890,1753,,204.0,schwarz,1753.0,1.54,FR,2183.0,Corminboeuf,15692.0,FR,1004.0,La Sarine,2183,Corminboeuf,2017-01-01
127,1669622809-316,https://www.autolina.ch/elektro-auto,71'790,1753,,204.0,rot,1753.0,1.54,FR,2183.0,Corminboeuf,15692.0,FR,1004.0,La Sarine,2183,Corminboeuf,2017-01-01
128,1669622809-317,https://www.autolina.ch/elektro-auto,38'900,6596,2022.0,145.0,weiss,6596.0,100.0,TI,5108.0,Gordola,12051.0,TI,2104.0,Locarno,5108,Gordola,1848-09-12
129,1669622809-318,https://www.autolina.ch/elektro-auto,15'555,1228,2019.0,109.0,weiss,1228.0,0.23,GE,6618.0,Confignon,11651.0,GE,2500.0,Cant. de Genève,6618,Confignon,1851-01-01
130,1669622809-319,https://www.autolina.ch/elektro-auto,108'100,5612,,408.0,grau,5612.0,82.7,AG,4080.0,Villmergen,15386.0,AG,1903.0,Bremgarten,4080,Villmergen,2010-01-01
131,1669622809-320,https://www.autolina.ch/elektro-auto,66'790,1213,,299.0,sonstiges,1213.0,0.14,GE,6621.0,Genève,12099.0,GE,2500.0,Cant. de Genève,6621,Genève,1931-01-01
132,1669622809-321,https://www.autolina.ch/elektro-auto,67'440,4800,,242.0,schwarz,4800.0,0.03,AG,4280.0,Oftringen,12494.0,AG,1910.0,Zofingen,4280,Oftringen,1848-09-12
133,1669622809-322,https://www.autolina.ch/elektro-auto,53'800,2504,2022.0,180.0,weiss,2504.0,29.47,BE,371.0,Biel/Bienne,15042.0,BE,242.0,Biel/Bienne,371,Biel/Bienne,2010-01-01
134,1669622809-323,https://www.autolina.ch/elektro-auto,34'777,8500,,122.0,weiss,8500.0,0.35,ZH,220.0,Hagenbuch,12001.0,ZH,110.0,Winterthur,220,Hagenbuch,1848-09-12
135,1669622809-324,https://www.autolina.ch/elektro-auto,16'900,6010,2019.0,109.0,schwarz,6010.0,83.38,LU,1059.0,Kriens,15576.0,LU,312.0,Luzern-Land,1059,Kriens,2013-01-01
